Genre_1,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
Action,610.0,142.0,77.0,429.0,418.0,4.0,529.0,208.0,5.0,143.0,93.0,5.0,82.0,93.0,451.0,655.0,128.0,42.0
Adventure,0.0,247.0,312.0,399.0,63.0,6.0,311.0,334.0,2.0,30.0,80.0,40.0,37.0,119.0,306.0,199.0,56.0,37.0
Animation,0.0,0.0,302.0,269.0,21.0,3.0,85.0,175.0,2.0,17.0,34.0,69.0,19.0,46.0,107.0,18.0,7.0,3.0
Children,0.0,0.0,0.0,362.0,12.0,1.0,101.0,209.0,0.0,5.0,30.0,84.0,18.0,45.0,58.0,5.0,3.0,6.0
Comedy,0.0,0.0,0.0,0.0,345.0,40.0,1013.0,293.0,2.0,187.0,27.0,168.0,79.0,884.0,189.0,193.0,59.0,40.0
Crime,0.0,0.0,0.0,0.0,0.0,5.0,637.0,21.0,52.0,59.0,11.0,8.0,164.0,81.0,29.0,569.0,10.0,11.0
Documentary,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,2.0,8.0,13.0,2.0,2.0,0.0,2.0,12.0,1.0
Drama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,50.0,165.0,32.0,116.0,288.0,934.0,208.0,832.0,298.0,59.0
Fantasy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,47.0,51.0,55.0,127.0,115.0,91.0,8.0,6.0
Film-Noir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,8.0,3.0,41.0,0.0,1.0
Horror,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,133.0,24.0,207.0,459.0,3.0,8.0
Musical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,96.0,8.0,3.0,2.0,10.0
Mystery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,62.0,69.0,354.0,3.0,4.0
Romance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,51.0,114.0,54.0,20.0
Sci-Fi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,302.0,12.0,8.0
Thriller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,41.0,18.0
War,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Western,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
